threshold,threshold_value,X,Y,Method,R,P,N
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFC,spearman,-0.04038253322692626,0.7875420743994002,47
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,pearson,0.21539290690088683,0.22118235207526066,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,spearman,0.16731606741473573,0.3442454419615112,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,pearson,0.22060930904591058,0.209928344178683,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,spearman,0.15600886285885407,0.3782818113931705,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,pearson,-0.4058551237603985,0.017241408346280625,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,spearman,-0.5074490044605822,0.002189316544366207,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,pearson,-0.4070655650921644,0.016880223743937092,34
p90,10803.514285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,spearman,-0.5118802062459952,0.0019713564304591185,34
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,pearson,-0.037845176718397,0.8265443561392396,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,spearman,-0.009010168693510049,0.9584059174996229,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,pearson,-0.046286362111927104,0.7886526548838237,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,spearman,-0.01029733564972577,0.9524702037535178,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,pearson,0.241066993757402,0.1566751513145178,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,spearman,0.13000386257778787,0.44982275031643604,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,pearson,0.2333988060577504,0.17069368020485687,36
p90,10803.514285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,spearman,0.11172609179952461,0.5165100232853801,36
p90,10803.514285714286,out_degree,MeanZFCV,pearson,-0.10437701750524486,0.48504283754836836,47
p90,10803.514285714286,out_degree,MeanZFCV,spearman,-0.1416773629606748,0.3421428406684921,47
p90,10803.514285714286,out_degree,MeanRawFCV,pearson,-0.10973887545044676,0.4627687329520662,47
p90,10803.514285714286,out_degree,MeanRawFCV,spearman,-0.15404555641731624,0.30121460508874265,47
p90,10803.514285714286,out_degree,MeanZFC,pearson,0.33070267452798113,0.023181364060337793,47
p90,10803.514285714286,out_degree,MeanZFC,spearman,0.4755599692593937,0.0007294526873529603,47
p90,10803.514285714286,out_degree,MeanRawFC,pearson,0.30474156510432543,0.03727208021757215,47
p90,10803.514285714286,out_degree,MeanRawFC,spearman,0.45516124261052526,0.0013063645577933024,47
p90,10803.514285714286,in_degree,MeanZFCV,pearson,-0.15502823546953043,0.29810397257192667,47
p90,10803.514285714286,in_degree,MeanZFCV,spearman,-0.15242998611746852,0.3063738579462124,47
p90,10803.514285714286,in_degree,MeanRawFCV,pearson,-0.16293199849630413,0.2738412700545913,47
p90,10803.514285714286,in_degree,MeanRawFCV,spearman,-0.16072947155791353,0.2804673876358174,47
p90,10803.514285714286,in_degree,MeanZFC,pearson,0.33436084963847945,0.021613631550954467,47
p90,10803.514285714286,in_degree,MeanZFC,spearman,0.5275433491933554,0.00013875678607828528,47
p90,10803.514285714286,in_degree,MeanRawFC,pearson,0.309560934434327,0.03422473768149351,47
p90,10803.514285714286,in_degree,MeanRawFC,spearman,0.5101845662651008,0.0002488037361720207,47
