species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,AIYR,-0.1312169578002816,0.0538733599112803,0.0090704486755844,0.4216142261088249,1-hop induced structural neighborhood modularity Q,62.0,3.0,0.4380086558406358,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIZL,-0.8896008985456061,0.0204181099660161,0.0474467650663529,0.403145092335744,1-hop induced structural neighborhood modularity Q,153.0,5.0,0.1375555429242481,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AIZR,-1.3167952854281442,0.020458202282866,0.0485028683518328,0.3995200126791898,1-hop induced structural neighborhood modularity Q,107.0,4.0,-0.0962768304354198,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,ALA,-0.3667136375340386,-0.0440910493247112,0.0339861142347755,0.5251595457003787,1-hop induced structural neighborhood modularity Q,17.0,3.0,0.6931471805599453,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,AQR,-0.5066244403314731,-0.0209444244297973,0.0392952149138182,0.330075863261283,1-hop induced structural neighborhood modularity Q,99.0,3.0,0.9162907318741552,node_mean,,2,other sensory,other sensory,thermo/gas sensory,sensory neurons
C. elegans,ASEL,0.5999583936775703,0.0406559890302322,0.0092507197028675,0.3711846860219897,1-hop induced structural neighborhood modularity Q,80.0,5.0,1.2299482907291963,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASER,0.7767642771058964,0.0341258340724581,0.0167177457883876,0.39704761390492793,1-hop induced structural neighborhood modularity Q,109.0,3.0,0.3841423386393431,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASGL,0.8773969832466972,-0.005239233925971,0.0084972584535816,0.06212802768166084,1-hop induced structural neighborhood modularity Q,13.0,3.0,1.329135947279942,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASGR,0.2448407951202664,-0.0032007243294031,0.0077206012072321,0.22562269161503007,1-hop induced structural neighborhood modularity Q,44.0,3.0,1.203972804325936,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASHL,0.6738876331718797,-0.0173948774511532,0.0224048983033459,0.4376725188340011,1-hop induced structural neighborhood modularity Q,103.0,5.0,1.820332841672111,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASIL,1.1971120119688037,0.0315659701679215,0.0068757177773338,0.41066474279265996,1-hop induced structural neighborhood modularity Q,53.0,4.0,0.8938178760220965,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASIR,0.4849856275222814,0.0078253633617394,0.019999902767536,0.19676432291666668,1-hop induced structural neighborhood modularity Q,40.0,3.0,1.3862943611198906,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASKL,0.5828654075667257,-0.0047926839170861,0.0005737168630484,0.22756273642708721,1-hop induced structural neighborhood modularity Q,22.0,3.0,-0.0400053346136991,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,ASKR,-0.111505099651864,-0.0025467418219997,0.0013774354586308,0.19384614418251142,1-hop induced structural neighborhood modularity Q,47.0,3.0,0.7295148247308201,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AUAL,-0.2375001825649381,-0.0233954949985874,0.017243294126609,0.2726225337780541,1-hop induced structural neighborhood modularity Q,51.0,3.0,0.5679840376059393,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AUAR,-0.1618779789119584,0.0397360446297983,0.0408527209317716,0.21677663601946998,1-hop induced structural neighborhood modularity Q,43.0,3.0,0.4432054360910114,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,AVAL,0.9531506706687886,-0.0295817709980234,0.086423045263819,0.37492299615319447,1-hop induced structural neighborhood modularity Q,541.0,7.0,-0.9065051814514368,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVAR,0.6793322880147115,-0.0148945580873344,0.0847952555575249,0.3763742404559555,1-hop induced structural neighborhood modularity Q,511.0,7.0,-0.8751742299154585,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
