species,unit_type,node,n_edge_values,summary_from_sample,edge_target_dca_mean,edge_target_dca_median,edge_target_dca_q05,edge_target_dca_q25,edge_target_dca_q75,edge_target_dca_q95,edge_target_dca_frac_positive,edge_target_dca_frac_negative,edge_target_dca_weighted_mean,edge_weight_sum,EdgeStdFCV,PostDCA
C. elegans,neuron,RIVR,13,False,-0.019974412828283647,-0.0106683342147788,-0.18516747575997564,-0.0834548689500998,-0.0007743854946294,0.1818246926179168,0.23076923076923078,0.7692307692307693,0.0019053193605542786,52.0,0.3661825565950331,0.0019053193605542
C. elegans,neuron,ASKL,5,False,0.00225299872436542,0.001864236400056,-0.01178042748451032,-0.0002794624979576,0.0066198300754091,0.015496812715456299,0.6,0.4,-0.00479268391708614,48.0,0.3658687676584213,-0.0047926839170861
C. elegans,neuron,IL1VR,8,False,-0.03121760429602242,0.0069849119458567,-0.19524821882555454,-0.0727192017049331,0.03405744851346392,0.06880106044443302,0.625,0.375,-0.115110472722582,77.0,0.3653855047800126,-0.115110472722582
C. elegans,neuron,AWAL,8,False,0.03283116246136539,0.0201018933970314,0.003274584728182181,0.011958803515048449,0.051718784589094347,0.07878018461542755,0.875,0.125,0.023494440548052827,54.0,0.3646351405315848,0.0234944405480528
C. elegans,neuron,RMEV,8,False,-0.0667890749393892,-0.05868662011130525,-0.20676620455424602,-0.16356888918335716,0.012297861435124274,0.07819662095106197,0.25,0.75,-0.04974257495787289,10.0,0.3645377102612743,-0.0497425749578728
C. elegans,neuron,AIMR,22,False,-0.004517143461132357,0.00950134143268365,-0.0798301777438116,0.0026887090241989754,0.022131824903762226,0.061812458678982246,0.8181818181818182,0.18181818181818182,0.006319478465967038,65.0,0.3643574135103361,0.006319478465967
C. elegans,neuron,AVAR,44,False,-0.010986398607970826,-0.00597043675402505,-0.07100791766007934,-0.014582771950419925,-0.003680527602822025,0.0989580181252234,0.13636363636363635,0.8636363636363636,-0.014894558087334408,282.0,0.3637421682700808,-0.0148945580873344
C. elegans,neuron,AVKL,15,False,0.01212163583741952,0.001988066247184,-0.051565576824925956,-0.0172910453907208,0.0355259366787501,0.08869887362376111,0.6,0.4,0.013302744202360503,35.0,0.363661142416298,0.0133027442023605
C. elegans,neuron,RIML,24,False,-0.03269030056281629,-0.0123907685603471,-0.3183623362018716,-0.06517417320480293,0.024163833212043025,0.1343594338714363,0.375,0.625,-0.04109274787152813,174.0,0.3633512640140533,-0.0410927478715281
C. elegans,neuron,AVER,25,False,-0.026286561407344766,-0.0074271883097858,-0.28725052928659134,-0.020673295639287,0.0144173800866849,0.07424213353183223,0.28,0.72,-0.1345850558722683,133.0,0.362536651788171,-0.1345850558722683
C. elegans,neuron,IL1R,12,False,-0.0691188102619244,-0.0434361030105059,-0.20347612768235598,-0.1736263346293444,0.0013108218449277243,0.049070003991302416,0.25,0.75,-0.11908460520401216,77.0,0.3605550462276384,-0.1190846052040121
C. elegans,neuron,ASHL,20,False,-0.015367198301626136,0.0149345418741903,-0.34908844554659957,-0.0029367679003434997,0.029544223736025426,0.09099738002245708,0.75,0.25,-0.017394877451153208,141.0,0.3597861880175925,-0.0173948774511532
C. elegans,neuron,SAADL,14,False,-0.037513125602792345,-0.00983859431884,-0.2301612361803001,-0.020927405958144678,0.0009462510755878751,0.04268945914637435,0.2857142857142857,0.7142857142857143,-0.10106872884416561,59.0,0.3592961685042783,-0.1010687288441655
C. elegans,neuron,RIBR,20,False,-0.012331939349303416,0.00999640826291175,-0.17746053363605388,-0.06517417320480293,0.03788681250868583,0.10324983832887163,0.55,0.45,-0.008284172368143425,61.0,0.35840522249037,-0.0082841723681434
C. elegans,neuron,OLLL,14,False,-0.044092660785108664,-0.02238373630446985,-0.20029850829846313,-0.10273928639504759,0.019561173041775324,0.05809323544048141,0.42857142857142855,0.5714285714285714,-0.04797902301593892,165.0,0.3580289779998295,-0.0479790230159389
C. elegans,neuron,ASIR,12,False,0.011186312846638726,0.007888673881626,-0.012623625582401515,0.0011836342376291748,0.011534886628184225,0.05475578809762303,0.75,0.25,0.007825363361739411,27.0,0.3564426943021062,0.0078253633617394
C. elegans,neuron,ASEL,17,False,0.03612745401442257,0.0130462493523485,-0.0100455050651029,0.0034833091252868,0.0625377741282366,0.11385479309707222,0.7647058823529411,0.23529411764705882,0.040655989030232265,129.0,0.3558329398351027,0.0406559890302322
C. elegans,neuron,RIH,29,False,0.026903999002548657,0.0117413470258144,-0.03580990900841528,0.002601439414488,0.0305157019919445,0.12250056501130138,0.7931034482758621,0.20689655172413793,0.051873727045225575,266.0,0.3553688125370224,0.0518737270452255
C. elegans,neuron,OLLR,21,False,-0.03385628072455197,-0.0106772007762209,-0.166929900213257,-0.0721015898028459,0.0100279085794089,0.0600001440589098,0.42857142857142855,0.5714285714285714,-0.06555554650922434,158.0,0.3552261822478234,-0.0655555465092243
C. elegans,neuron,SMBVR,14,False,0.02012725023769592,0.0037302959398659496,-0.05584815417441625,-0.0104631533110001,0.0424055567677038,0.12786066482864727,0.6428571428571429,0.35714285714285715,0.01711291761688217,56.0,0.3551667481069022,0.0171129176168821
C. elegans,neuron,OLQVR,9,False,0.023873737744550465,0.001988066247184,-0.12918420525218077,-0.0106772007762209,0.0722051142690488,0.18168467439394598,0.5555555555555556,0.4444444444444444,0.0031116311161349325,90.0,0.354593484297119,0.0031116311161349
C. elegans,neuron,IL1L,12,False,-0.04586444613432247,-0.0034656420720411496,-0.2021793284187078,-0.1043236267658891,0.010868676803571925,0.05788895109942116,0.5,0.5,-0.13171288090184471,76.0,0.3545102878121302,-0.1317128809018447
C. elegans,neuron,SMDDL,19,False,0.007606238414242547,-0.0036028994394709,-0.09038278545551734,-0.0317950085089624,0.02157561423724735,0.15066471822958358,0.42105263157894735,0.5789473684210527,0.03528761233371243,95.0,0.3540710862406407,0.0352876123337124
C. elegans,neuron,URYVL,22,False,-0.0004507001235345832,0.0081326681536321,-0.16218848469273642,-0.0439398571686003,0.05380867701333185,0.08838321321209958,0.5909090909090909,0.4090909090909091,-0.05076860633491309,143.0,0.3534950362461274,-0.050768606334913
C. elegans,neuron,RMED,4,False,-0.08872139267283155,-0.08202986294119345,-0.14676670669250105,-0.1228973974454049,-0.047853858168620096,-0.040044220277455383,0.0,1.0,-0.11615538181487879,7.0,0.353374317071198,-0.1161553818148787
C. elegans,neuron,SMDVR,16,False,-0.023751738056339032,-0.0049132589583074995,-0.25377852147733904,-0.032088454570022254,0.014790282836459424,0.1662447054237504,0.375,0.625,0.02726277363967936,140.0,0.3524284855523643,0.0272627736396793
C. elegans,neuron,AWCL,14,False,-0.011353795491731317,0.0053644105629989496,-0.1647292891145864,-0.010444024655399725,0.016108536389383928,0.10086431532504637,0.5714285714285714,0.42857142857142855,0.03588710848588543,67.0,0.3522118805826735,0.0358871084858854
