species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,central complex,protocerebrum,80.0,889.0,0.09646622272708459,0.09646622272708459
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,central complex,premotor interface,80.0,120.0,2.493530301210813e-14,1.9948242409686504e-13
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,protocerebrum,premotor interface,889.0,120.0,1.3358234345959044e-25,1.6029881215150852e-24
Drosophila,ProfileCorrDistFCV,olfactory neuropil,80.0,-0.5695178583351851,-0.5878970492389798,0.7928038795521875,,,,,,,,
Drosophila,ProfileCorrDistFCV,optic neuropil,117.0,1.5610664526570628,1.5418544419869176,0.44154082313033305,,,,,,,,
Drosophila,ProfileCorrDistFCV,mushroom body,40.0,-1.3545111211036642,-1.2529803959006074,0.5754422787449491,,,,,,,,
Drosophila,ProfileCorrDistFCV,central complex,80.0,-0.3181631908039698,-0.37321024297322225,0.940774916989996,,,,,,,,
Drosophila,ProfileCorrDistFCV,protocerebrum,889.0,0.00786356456798405,-0.03674894483990498,0.8888287295214874,,,,,,,,
Drosophila,ProfileCorrDistFCV,premotor interface,120.0,-0.5370046257211283,-0.5439913480407561,0.595128340167257,,,,,,,,
Drosophila,ProfileCorrDistFCV,__global_kruskal__,1326.0,,,,372.68919240829564,2.274575329539095e-78,,,,,,
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,optic neuropil,80.0,117.0,1.6923943667429042e-31,2.2001126767657756e-30
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,mushroom body,80.0,40.0,1.7981092314482702e-07,1.0087490543309746e-06
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,central complex,80.0,80.0,0.11527415375240536,0.3441715077022284
