species,unit_type,node,n_edge_values,summary_from_sample,edge_source_dca_mean,edge_source_dca_median,edge_source_dca_q25,edge_source_dca_q75,edge_source_dca_frac_positive,edge_source_dca_frac_negative,EdgeStdFCV
C. elegans,neuron,ASER,21,False,0.016160625043345082,0.0055326068603168,0.0014131832719237,0.0122816352193427,0.8095238095238095,0.19047619047619047,0.3678751214799775
C. elegans,neuron,RIBL,23,False,0.030783633571145948,0.0249817878069856,0.0055540216497277,0.06474646804974345,0.8260869565217391,0.17391304347826086,0.3682373099953809
C. elegans,neuron,AIBR,32,False,0.027482393876428847,0.01529931687461045,0.004218272213312399,0.05450098064484288,0.78125,0.21875,0.368490605860843
C. elegans,neuron,AVEL,43,False,0.009082898828327727,0.0168228343960321,-0.0004683824051202499,0.03774449933869395,0.7441860465116279,0.2558139534883721,0.3686034438456281
C. elegans,neuron,ASGL,7,False,0.008476455014314314,0.001864236400056,0.0001241555302241,0.0054374831405910005,0.7142857142857143,0.2857142857142857,0.3692082883865347
C. elegans,neuron,RIVL,13,False,0.019569514939930345,0.0045425003663694,-0.0270651605212964,0.0599798831078108,0.6153846153846154,0.38461538461538464,0.3703209061685168
C. elegans,neuron,AVAL,63,False,0.03748046582922425,0.0307085258137396,0.0104025776193351,0.07084895315481295,0.8412698412698413,0.15873015873015872,0.3713074619127138
C. elegans,neuron,OLQDL,5,False,0.034381805669741514,0.0200250838331974,0.0084350888489262,0.0473587281822159,1.0,0.0,0.3717282314424913
C. elegans,neuron,SMDVL,28,False,0.028963255137183886,0.01820931359032415,-0.00392716167038855,0.06131166202131435,0.6785714285714286,0.32142857142857145,0.3722961878975545
C. elegans,neuron,RMEL,12,False,0.015702782286528886,0.0074954814844171,0.0025623622776661,0.010818728989063674,0.8333333333333334,0.16666666666666666,0.3729178332574723
C. elegans,neuron,OLQVL,13,False,0.016938423196007246,0.0168228343960321,0.0084350888489262,0.0610033400896625,0.7692307692307693,0.23076923076923078,0.3733040284769133
C. elegans,neuron,RMDL,27,False,0.02715087021386529,0.0084350888489262,-0.00202331124827785,0.05811039063704525,0.6296296296296297,0.37037037037037035,0.3733656436131191
C. elegans,neuron,RIS,18,False,-0.009655695425736938,-0.0054881729747739,-0.04857665548356225,0.01632632070972515,0.3888888888888889,0.6111111111111112,0.3748638452544535
C. elegans,neuron,AIML,8,False,0.0072923454585897,0.008207620420819399,-0.0029367679003434997,0.01614608821136125,0.75,0.25,0.3765584426919707
C. elegans,neuron,RID,14,False,0.007909461656483213,0.0054588979300019,-0.002447818984500375,0.03358993486371473,0.7142857142857143,0.2857142857142857,0.3786347558989021
C. elegans,neuron,ASIL,5,False,0.00935582117395318,0.0091575176878429,0.0055754364391386,0.0100271030810712,1.0,0.0,0.3802040399089336
C. elegans,neuron,BAGL,9,False,0.021338660095179325,0.0300883625868734,0.0018575255834541,0.0395451949518471,0.7777777777777778,0.2222222222222222,0.3871291779914279
C. elegans,neuron,AVBL,45,False,0.01302304308891134,0.025061877317654,0.0034255894904922,0.0432315315231449,0.8222222222222222,0.17777777777777778,0.3873349817527458
Drosophila,region,ME_L,21880,False,-0.037664809246725474,0.0,-0.0052167375178731,0.0028169009909476,0.4893510054844607,0.4970292504570384,0.2668576074628267
Drosophila,region,LO_R,122546,False,0.0003767476372131757,6.792169625526535e-06,-3.1192383751662245e-05,0.0001874590916227,0.5434449104825942,0.45404174758866056,0.2679576600499964
Drosophila,region,AME_L,796,False,-0.01069021500927017,1.710135658006667e-07,-1.2356213137473567e-05,2.1296937679877823e-05,0.5263819095477387,0.46733668341708545,0.2688859714524277
Drosophila,region,ME_R,51280,False,0.0007355428145899404,1.2456332363858102e-06,-3.273018543026544e-05,0.0005267697824265,0.5909516380655226,0.3593603744149766,0.2696230209472877
