ratio_L2_to_L3_over_L3_to_L2,log2_ratio,trial,layer,node,global_node_idx,FCV,PostDCA,PreDCA
0.2,-2.321928094887362,1,3,L3_039,119,-0.5050054803180531,,
0.2,-2.321928094887362,1,3,L3_040,120,-0.23634720316482974,,
0.2,-2.321928094887362,1,3,L3_041,121,0.25980981238733225,,
0.2,-2.321928094887362,1,3,L3_042,122,0.11794791150078121,,
0.2,-2.321928094887362,1,3,L3_043,123,-1.6955109982352035,,
0.2,-2.321928094887362,1,3,L3_044,124,2.0367539325337845,,
0.2,-2.321928094887362,1,3,L3_045,125,-1.304696800124974,,
0.2,-2.321928094887362,1,3,L3_046,126,-0.25106369133259576,,
0.2,-2.321928094887362,1,3,L3_047,127,-1.2136890338670845,,
0.2,-2.321928094887362,1,3,L3_048,128,-0.6923284885060027,,
0.2,-2.321928094887362,1,3,L3_049,129,2.0807718442468786,,
0.2,-2.321928094887362,1,3,L3_050,130,1.1725854204333142,,
0.2,-2.321928094887362,1,3,L3_051,131,-0.8937194529169344,,
0.2,-2.321928094887362,1,3,L3_052,132,0.15703589665876086,,
