species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,CEPVL,0.0223998823511378,13,0.3255136225564881,-0.6287699083132322,-0.6287699083132322,0.040540942258045,0.040540942258045,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,13.0,0.022399882351137837
C. elegans,URXR,0.021624290017156,21,0.3260604476420717,-0.6372974753910494,-0.6372974753910494,0.0238950085354862,0.0238950085354862,signed_PreDCA,0,sensory input,thermo/gas sensory,2,other sensory,21.0,0.021624290017156066
C. elegans,AWBR,0.028191623292978,8,0.3267566902921516,-0.6363961913476046,-0.6363961913476046,0.0262123003665272,0.0262123003665272,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,8.0,0.028191623292978012
C. elegans,URBL,0.0304178575076642,4,0.32699685907927,-0.4708821787532142,-0.4708821787532142,0.0224793630567143,0.0224793630567143,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,4.0,0.03041785750766425
C. elegans,ADAR,0.0418593474388221,16,0.3270550377194187,-1.1131455752456976,-1.1131455752456976,0.0322677412610034,0.0322677412610034,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,16.0,0.04185934743882214
C. elegans,AUAR,0.0457981463330142,10,0.3274902236394654,-0.1618779789119584,-0.1618779789119584,0.0408527209317716,0.0408527209317716,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,10.0,0.04579814633301428
C. elegans,IL2VR,-0.0101526414878434,5,0.3275475217451253,-0.6951096324652956,-0.6951096324652956,0.0259245979936007,0.0259245979936007,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,5.0,-0.01015264148784346
C. elegans,AVBR,0.0121833746061708,47,0.3282464458072793,0.1153840283642345,0.1153840283642345,0.0233360646545585,0.0233360646545585,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,47.0,0.012183374606170848
C. elegans,SAAVR,-0.0477810964033902,10,0.3284400070992513,-0.0947303247555859,-0.0947303247555859,-0.0550444047887704,-0.0550444047887704,signed_PreDCA,1,sensorimotor output,other interneuron,3,sensorimotor output,10.0,-0.04778109640339029
C. elegans,AVKR,0.0016235560474519,12,0.3286222601610877,0.1289578386435944,0.1289578386435944,0.0070625858229213,0.0070625858229213,signed_PreDCA,2,integrative relay,integrative interneuron,4,integrative relay,12.0,0.0016235560474519414
C. elegans,AVL,0.0127327285385062,16,0.3288963671533629,-0.1539672773458583,-0.1539672773458583,0.0202975222955369,0.0202975222955369,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,16.0,0.012732728538506212
C. elegans,CEPDL,0.0240098439868549,20,0.3296426373461737,-0.5279938050716838,-0.5279938050716838,0.0311642340545337,0.0311642340545337,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,20.0,0.024009843986854927
C. elegans,AINR,0.0133995450924613,3,0.3297581771604672,-0.4216258862265929,-0.4216258862265929,0.0082381453760399,0.0082381453760399,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,3.0,0.013399545092461334
C. elegans,IL2L,0.0137551889429807,9,0.3302725772632353,-0.5413112599527531,-0.5413112599527531,0.0207946452853961,0.0207946452853961,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,9.0,0.01375518894298079
C. elegans,AWCR,0.0211454965271187,14,0.3304063149027885,-0.358798074346615,-0.358798074346615,0.0160595269847305,0.0160595269847305,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,14.0,0.021145496527118706
