species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,RMDDL,-0.0104403065291283,9,0.3340769569046931,-0.0754488343026982,-0.4266990564743954,-0.4266990564743954,1,sensorimotor output,head motor / command,-0.0754488343026982,signed_PostDCA,3,sensorimotor output,9.0,-0.010440306529128323
C. elegans,URBR,0.0152949606897977,24,0.3312190338559746,0.0219748405314457,-0.4622202745889068,-0.4622202745889068,2,integrative relay,other interneuron,0.0219748405314457,signed_PostDCA,4,integrative relay,24.0,0.015294960689797799
C. elegans,ALA,-0.0223648780023745,7,0.33085458119846,-0.0440910493247112,-0.3667136375340386,-0.3667136375340386,4,state-dependent / modulatory,state-modulatory interneuron,-0.0440910493247112,signed_PostDCA,6,state-dependent / modulatory,7.0,-0.022364878002374584
C. elegans,RICL,-0.0370792756481139,20,0.3305586784404383,-0.1487716846368256,-0.5805296414732438,-0.5805296414732438,4,state-dependent / modulatory,state-modulatory interneuron,-0.1487716846368256,signed_PostDCA,6,state-dependent / modulatory,20.0,-0.03707927564811396
C. elegans,AWCR,0.0268865366914021,17,0.3304063149027885,0.0309666411000357,-0.358798074346615,-0.358798074346615,0,sensory input,chemosensory,0.0309666411000357,signed_PostDCA,0,olfactory / chemosensory,17.0,0.02688653669140213
C. elegans,IL2L,0.0078218222416895,13,0.3302725772632353,0.0214399059599486,-0.5413112599527531,-0.5413112599527531,0,sensory input,mechanosensory,0.0214399059599486,signed_PostDCA,2,other sensory,13.0,0.00782182224168953
C. elegans,AINR,0.0102681909470354,17,0.3297581771604672,0.0050045042788847,-0.4216258862265929,-0.4216258862265929,3,associative / learning,associative interneuron,0.0050045042788847,signed_PostDCA,5,associative / learning,17.0,0.0102681909470354
C. elegans,CEPDL,0.0094096236578151,26,0.3296426373461737,0.0018778648141152,-0.5279938050716838,-0.5279938050716838,0,sensory input,mechanosensory,0.0018778648141152,signed_PostDCA,2,other sensory,26.0,0.009409623657815187
C. elegans,AVL,0.0019548655687222,18,0.3288963671533629,-0.0069589402806569,-0.1539672773458583,-0.1539672773458583,2,integrative relay,other interneuron,-0.0069589402806569,signed_PostDCA,4,integrative relay,18.0,0.0019548655687222495
C. elegans,AVKR,-0.0142689459503524,17,0.3286222601610877,-0.0135462210341531,0.1289578386435944,0.1289578386435944,2,integrative relay,integrative interneuron,-0.0135462210341531,signed_PostDCA,4,integrative relay,17.0,-0.014268945950352465
