neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AWAR,10,0.27434480366583797,0.26925497104289553,0.4720739341844939,0.21639895617708138,0.2577620346945224,-0.009737665110316538,-0.11284813966288577,0.46994681146811795,0.01786109487563353,0.545337738521744,Sensory,0.0113393480534379,0.002181830365595,0.0091575176878429,0.0178208159686248,0.010277817085978,0.0669467896306132,0.7692307692307693,10,13,11,93.0,21.0
AWBL,18,0.2895789651637642,0.2855201078710094,0.49436495800679087,0.2212502026901121,0.2617287424237106,0.6529485180208285,0.5612179217577246,0.6622097605599545,0.25618446766968117,0.6215178850665342,Sensory,0.0189004009329195,0.0027191472703835,0.016181253662536,0.0439161015987454,0.0144368852043384,0.2304489213782739,0.625,10,16,9,74.0,28.0
AWBR,10,0.27288043210333957,0.2687323902421951,0.5196716419566544,0.2118586324013474,0.2714160215602855,-0.07343784326386679,-0.13450513436417325,0.8804831663363627,-0.20518782108925074,0.8075609199022767,Sensory,0.0075623116824749,0.0031544514592662,0.0044078602232087,0.041297358488301,0.0262123003665272,0.2498774732165999,0.9333333333333332,14,15,8,40.0,19.0
AWCL,17,0.2869899502447778,0.28248121067182114,0.44913403102070576,0.22583283807678067,0.24471525600135133,0.5403263421980087,0.4352787742567752,0.27208719455185104,0.4813119928743125,0.2947759173243372,Sensory,0.0166118555703561,0.0065847524892848,0.0100271030810712,0.0358871084858854,0.014307224674721,0.0621479067488444,0.5714285714285714,8,14,12,67.0,57.0
AWCR,10,0.26850855405032037,0.26584711276059625,0.38734654628773724,0.2146306470075829,0.23012588272860302,-0.26361458390459697,-0.25407791439546396,-0.26083781268109363,-0.06900923923036137,0.014588752100023016,Sensory,0.0147067377552298,0.0095105234895486,0.0051962142656811,0.0309666411000358,0.0160595269847306,0.0791812460476248,0.7647058823529411,13,17,14,111.0,62.0
BAGL,7,0.3044842988372272,0.30390948425767333,0.38529761029865206,0.21957338761008974,0.18123840408183198,1.301330687378029,1.323317536653934,-0.2785101492638519,0.1738088917533802,-0.9242894163398088,Sensory,0.0384290659426616,0.0079133639507171,0.0305157019919445,0.0300907143407224,0.0161606786518617,0.3010299956639812,0.5789473684210527,11,19,9,78.0,36.0
CEPDL,18,0.2523640130654944,0.2494720143771536,0.3586894487581832,0.19400658116357286,0.19838455888482145,-0.9659022841561045,-0.9327010449198543,-0.5080089667459542,-1.0821915047508786,-0.5949995682473903,Sensory,0.0319287869299071,0.0119037030967097,0.0200250838331974,0.0018778648141152,0.0311642340545338,0.109144469425068,0.6538461538461539,17,26,20,175.0,41.0
CEPDR,17,0.23026639933423212,0.22652675024323585,0.3708294385728821,0.1759251734944484,0.19926091875477409,-1.927148710608258,-1.8836075135498553,-0.4032999923028794,-1.970462601466966,-0.5781691819732223,Sensory,0.0145604018941455,0.0045324933147365,0.0100279085794089,0.0292962675616043,0.0358032711083191,0.3010299956639812,0.5714285714285714,12,21,10,138.0,20.0
CEPVL,15,0.2529939526122649,0.25121353915660255,0.3539545607661144,0.1948745567165182,0.1918865781499892,-0.9384999073393981,-0.8605281046393589,-0.548847985008726,-1.0395511522713499,-0.7197925095024938,Sensory,0.0304871621491778,0.0168232652564016,0.0136638968927762,0.008011582336464,0.040540942258045,0.1962946451439682,0.5714285714285714,12,21,13,138.0,44.0
CEPVR,11,0.24314087453494704,0.24079384215523741,0.40236632652945964,0.1926231989808382,0.2318723781369654,-1.367108905874683,-1.2923451986564405,-0.13129027520565792,-1.150151833455458,0.04812998710703961,Sensory,0.021202510203918,0.0166600098375486,0.0045425003663694,0.0209005380391964,0.0403269229414609,0.0202033860882869,0.6190476190476191,13,21,20,122.0,60.0
