Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile
12,64,rSP,658,1922,56,8.060252098930774e-10,-0.0009880520354794697,0.004263200258775265,-0.005540422983974367,8253,585,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,65,rTeO,7358,52215,45,6.853311321532853e-10,-0.00023965040317429074,-0.022164837301257664,-0.0036723258459201618,625997,1468159,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,66,rTh,1297,6023,32,9.254989463600655e-10,0.0019401868776077007,-0.00924808683288704,-0.0019979202698031727,209836,301998,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,67,rTL,74,49,156,8.987365815380365e-10,-0.005254103610205153,-0.04726274536396811,-0.01360260407504681,1881,1448,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,68,rTS,130,80,105,9.854727026487135e-10,0.0006786427488732867,-0.012177781327705969,-0.01429743984487387,3662,2249,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,69,rTG,2,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,70,rVR,71,103,57,7.544659341736116e-10,-0.006902409463900646,-0.011957004527774099,-0.004558220000840898,409,75,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,71,rNX,484,3555,24,4.5173365829788416e-10,0.0002941016402092272,-0.017018232566030904,0.003871711837465099,25294,74056,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
13,0,MON,1012,15689,29,5.7577050583976e-10,-0.0012047774801749866,-0.012259603357990326,-0.0038772067435236222,283634,112223,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,1,Cb,1875,11162,16,2.9866933540669064e-10,-0.0008263935456514279,-0.01724636881428244,-0.0003457946494874293,253835,185879,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,2,MOS1,1217,56059,14,4.4292302847612865e-10,0.0038667387255510045,-0.010663167965097965,0.00526065603840408,436237,638849,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,3,MOS2,627,2400,16,2.5418976340328304e-10,-0.003659891039133838,-0.012030692134796376,0.009394567173820092,172234,232916,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,4,MOS3,1262,12630,14,5.857991542949926e-10,0.0016109913318372202,-0.020346806252058456,0.0016646657700744394,754426,134770,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,5,MOS4,967,4218,8,1.8925686934329205e-10,-0.002639834225578018,-0.015983948357271058,-9.547773367553678e-05,287461,84806,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,6,MOS5,1257,15151,32,7.002109849060591e-10,-0.0034121741730754533,-0.011743496923939145,0.000837140660268019,328453,168660,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,7,IPN,112,83,164,9.699823298488808e-10,-0.0013005152613033597,-0.006933360909734485,-0.0032463939039655623,5899,13386,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,8,IO,13,2,2,1.5700924586837752e-16,0.0,2.7061522564495844e-06,-0.008904677549350103,6,110,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,9,Hc,71,87,121,9.281115299094285e-10,-0.006397834505375798,-0.045022761183826226,0.0004756446775130121,6002,8508,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
13,10,Ra,382,1358,11,3.15947053567366e-10,-0.0008143704418580089,-0.010742969330227701,0.009446767069489199,62181,202322,12242794,56521,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_13_data_cellular_synapse_sc_100_data.pkl
